id,common_name,common_lat,common_long
251,California St at University Ave,37.87055532905745,-122.27972030639648
252,Channing Way at Shattuck Ave,37.8658466,-122.2674431
253,Haste St at College Ave,37.86641794050319,-122.25379943847656
254,Vine St at Shattuck Ave,37.88022244590679,-122.26959228515624
255,Virginia St at Shattuck Ave,37.87657254910685,-122.26952791213988
256,Hearst Ave at Euclid Ave,37.87511169286445,-122.26055324077606
257,Fifth St at Delaware St,37.870407115465376,-122.29967594146729
258,University Ave at Oxford St,37.8723555,-122.2664467
259,Addison St at Fourth St,37.866249,-122.2993708
262,West St at University Ave,37.86996670760404,-122.28653311729433
263,Channing Way at San Pablo Ave,37.8628271,-122.2902305
265,Ninth St at Parker St,37.8588682,-122.2912095
266,Parker St at Fulton St,37.8624644,-122.2647911
267,Derby St at College Ave,37.8618037,-122.2535687
268,Ellsworth St at Russell St,37.85749021457153,-122.26157784461977
269,Telegraph Ave at Carleton St,37.8623199,-122.258801
270,Ninth St at Heinz Ave,37.8534894,-122.2894154
271,San Pablo Park,37.85578332030199,-122.28312671184538
272,Woolsey St at Sacramento St,37.850577684047856,-122.27817535400388
273,Fulton St at Ashby Ave,37.85557366182879,-122.2635653614998
274,Oregon St at Adeline St,37.8575672,-122.2675583
275,Julian St at 6th St,37.3429973,-121.8888891
276,Julian St at The Alameda,37.3322326,-121.9125165
277,Morrison Ave at Julian St,37.3336577,-121.9085859
278,The Alameda at Bush St,37.3319323,-121.9048882
279,Santa Clara St at 7th St,37.3391456,-121.8841054
280,San Fernando at 7th St,37.337246,-121.8830739
281,9th St at San Fernando St,37.3383952,-121.8807965
282,Market St at Park St,37.332426301252056,-121.89034938812256
283,Delmas Ave and San Fernando St,37.3302641,-121.8977018
284,Yerba Buena Center for the Arts (Howard St at 3rd St),37.78487208436062,-122.40087568759915
285,Webster St at O'Farrell St,37.78352083526095,-122.43115782737732
286,San Carlos St at 11th St,37.3364659,-121.8766132
287,Almaden Blvd at Balbach St,37.32673,-121.8892731
288,Mission St at 1st St,37.3509643,-121.9020161
289,5th St at Taylor St,37.3510173,-121.8959209
290,George St at 1st St,37.3477319,-121.899464
291,Autumn Parkway at Coleman Ave,37.3413348,-121.9031829
292,Empire St at 1st St,37.3448821,-121.8969655
293,W St John St at Guadalupe River Trail,37.3353879,-121.8979205
294,Pierce Ave at Market St,37.327581,-121.884559
295,William St at 10th St,37.3327938,-121.8759263
296,5th St at Virginia St,37.3259984,-121.87712
297,Locust St at Grant St,37.3229796,-121.8879312
298,Oak St at 1st St,37.322124625448566,-121.88109040260316
299,Bestor Art Park,37.3236779,-121.8741186
300,Palm St at Willow St,37.3172979,-121.884995
301,Willow St at Vine St,37.3184498,-121.8831724
302,Tamien Station,37.31285404293261,-121.88294112682344
303,San Pedro St at Hedding St,37.352601,-121.905733
304,Jackson St at 5th St,37.3487586867448,-121.89479783177376
305,Ryland Park,37.342725,-121.895617
306,Saint James Park,37.339301,-121.889937
307,SAP Center,37.332692,-121.900084
308,San Pedro Square,37.336802,-121.8940901
309,San Jose City Hall,37.337391,-121.886995
310,San Fernando St at 4th St,37.335885,-121.88566
311,Paseo De San Antonio at 2nd St,37.333798,-121.886943
312,San Jose Diridon Station,37.329732,-121.901782
313,Almaden Blvd at San Fernando St,37.331415,-121.8932
314,Santa Clara St at Almaden Blvd,37.333988,-121.894902
315,Market St at 45th St,37.834174,-122.272968
316,San Salvador St at 1st St,37.330165,-121.885831
317,San Salvador St at 9th St,37.333955,-121.877349
318,San Carlos St at Market St,37.330698,-121.888979
321,5th at Folsom,37.78014570345598,-122.40307085237872
323,Broadway at Kearny,37.79801364395978,-122.40595042705534
324,Union Square (Powell St at Post St),37.788299978150825,-122.40853071212769
327,5th St at San Salvador St,37.33203868095132,-121.8817663192749
336,Potrero Ave and Mariposa St,37.76328094058097,-122.4073773622513
337,Webster St at 19th St,37.80696976095594,-122.26658821105956
338,13th St at Franklin St,37.80318908113163,-122.27057933807372
339,Jackson St at 11th St,37.80000163118878,-122.26643800735472
340,Harmon St at Adeline St,37.849735,-122.270582
341,Fountain Alley at S 2nd St,37.33618830029063,-121.8892765045166
342,Colin P Kelly Jr St at Townsend St (Temporary Site),37.781382819628725,-122.3898410797119
343,Bryant St at 2nd St,37.783171989315306,-122.39357203245164
344,16th St Depot,37.766349,-122.396289
345,Hubbell St at 16th St,37.76647421515012,-122.39829540252686
347,23rd St and San Bruno Ave,37.75443563479177,-122.40436390042304
349,Howard St at Mary St,37.78100971717512,-122.40566611289978
350,8th St at Brannan St,37.771431362921085,-122.40578681230544
351,10th St at University Ave,37.86906047545393,-122.29339957237242
355,23rd St at Tennessee St,37.755367132158526,-122.38879501819608
356,Valencia St at Clinton Park,37.769188178104585,-122.42228507995604
357,2nd St at Julian St,37.34113203547954,-121.8928438425064
358,Lane St at Van Dyke Ave,37.72925213437005,-122.39237844944
359,Williams Ave at Apollo St,37.73016750815088,-122.39896327257156
360,Newhall St at 3rd St,37.73857187126725,-122.3896177858114
361,Mendell St at Fairfax Ave,37.739853017984125,-122.38565549254416
362,Lane St at Revere Ave,37.7317266935217,-122.3900556564331
363,Salesforce Transit Center (Natoma St at 2nd St),37.78749210438603,-122.3982846736908
364,Mission Rock St at 3rd St,37.77288579232439,-122.38994032144548
365,Turk St at Fillmore St,37.78045005996349,-122.43194639682768
367,Outside Lands 2018 (Temporary Station),37.771104,-122.473658
372,Madison St at 17th St,37.8040367840236,-122.26240932941435
374,Viva Calle SJ,37.26331,-121.833332
